,Duration,Type,Call Status,Call Id,V_Range,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos
1999,101,Service,Existing Customer Prospect,731004414.0,0,0.5000000000000003,0.0,0.7071067811865476,-1.8369701987210297e-16,0.8660254037844387,-0.5000000000000004
2033,219,Service,Disconnected in Progress,725147221.0,0,0.7071067811865476,0.8660254037844386,0.7071067811865476,-0.5000000000000004,6.123233995736766e-17,-0.5000000000000004
2039,217,Service,Existing Customer Prospect,1051766005.0,1,0.8660254037844387,0.7071067811865476,0.9659258262890683,-0.8660254037844388,0.5000000000000001,-1.0
2044,217,Service,Existing Customer Prospect,694220543.0,0,0.9659258262890682,0.0,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.8660254037844388
2070,216,Service,New Prospect,690370850.0,1,0.9659258262890682,0.7071067811865476,-2.4492935982947064e-16,-0.4999999999999998,0.5000000000000001,0.8660254037844378
2078,212,Service,New Prospect,1075653117.0,2,0.7071067811865476,0.0,0.7071067811865476,0.5000000000000001,0.8660254037844387,-0.5000000000000004
2121,203,Service,New Prospect,659725016.0,0,0.25881904510252074,0.25881904510252074,0.8660254037844387,1.0,1.0,-0.8660254037844388
2128,198,Service,New Prospect,723148406.0,0,0.7071067811865476,0.7071067811865476,-2.4492935982947064e-16,-0.5000000000000004,0.5000000000000001,0.8660254037844378
2158,134,Service,New Prospect,1070105655.0,0,0.8660254037844386,0.7071067811865476,-0.9659258262890681,6.123233995736766e-17,0.5000000000000001,-0.4999999999999992
2185,192,Service,Existing Customer Prospect,1075638270.0,0,0.7071067811865476,0.0,0.5000000000000003,0.5000000000000001,0.8660254037844387,-1.8369701987210297e-16
2232,187,Service,New Prospect,693516515.0,0,0.9659258262890682,0.7071067811865476,0.5000000000000003,-0.4999999999999998,0.5000000000000001,-1.8369701987210297e-16
2234,187,Sales,Existing Customer Prospect,1079524240.0,2,0.7071067811865476,0.8660254037844386,-0.8660254037844385,0.5000000000000001,6.123233995736766e-17,1.1943401194869635e-15
2240,175,Service,New Prospect,690122488.0,2,0.9659258262890682,0.49999999999999994,-0.4999999999999997,-0.4999999999999998,0.8660254037844387,0.866025403784439
2250,186,Sales,Existing Customer Prospect,731657618.0,0,0.5000000000000003,0.49999999999999994,0.5000000000000003,-1.8369701987210297e-16,0.8660254037844387,-1.8369701987210297e-16
2251,186,Service,New Prospect,1042378388.0,1,0.5000000000000003,0.25881904510252074,-2.4492935982947064e-16,-1.8369701987210297e-16,1.0,0.8660254037844378
2256,152,Service,Existing Customer Prospect,713275788.0,1,0.8660254037844387,0.0,-2.4492935982947064e-16,-0.8660254037844388,0.8660254037844387,0.8660254037844378
2263,181,Service,Existing Customer Prospect,1035790489.0,1,0.258819045102521,0.8660254037844386,-0.4999999999999997,0.49999999999999933,6.123233995736766e-17,0.866025403784439
2272,179,Current Customer,Current Customer,691154562.0,2,0.9659258262890682,0.0,-0.4999999999999997,-0.4999999999999998,0.8660254037844387,0.866025403784439
2287,178,Service,Existing Customer Prospect,686797594.0,0,0.8660254037844386,0.49999999999999994,-2.4492935982947064e-16,6.123233995736766e-17,0.8660254037844387,0.8660254037844378
2290,177,Service,New Prospect,1051526779.0,2,0.8660254037844387,0.8660254037844386,0.5000000000000003,-0.8660254037844388,6.123233995736766e-17,-1.8369701987210297e-16
2316,176,Sales,New Prospect,1038343136.0,0,0.5000000000000003,0.7071067811865476,0.7071067811865476,-1.8369701987210297e-16,0.5000000000000001,-0.5000000000000004
2322,168,Sales,New Prospect,736074862.0,0,0.258819045102521,0.0,0.7071067811865476,0.49999999999999933,0.8660254037844387,-0.5000000000000004
2324,168,Sales,Existing Customer Prospect,1074451717.0,1,0.8660254037844386,0.0,0.5000000000000003,6.123233995736766e-17,0.8660254037844387,-1.8369701987210297e-16
2332,165,Service,Existing Customer Prospect,709575519.0,1,0.9659258262890683,0.0,0.8660254037844387,-1.0,0.8660254037844387,-0.8660254037844388
2349,165,Service,Existing Customer Prospect,704214586.0,0,0.9659258262890683,0.0,0.8660254037844387,-1.0,0.8660254037844387,-0.8660254037844388
2355,164,Service,Existing Customer Prospect,688879721.0,0,0.9659258262890682,0.8660254037844386,0.8660254037844387,-0.4999999999999998,6.123233995736766e-17,-0.8660254037844388
2357,164,Service,New Prospect,1081181755.0,0,0.49999999999999994,0.7071067811865476,0.9659258262890683,0.8660254037844387,0.5000000000000001,-1.0
2359,161,Service,Existing Customer Prospect,680156886.0,1,0.7071067811865476,0.49999999999999994,-0.4999999999999997,0.5000000000000001,0.8660254037844387,0.866025403784439
2363,158,Service,Answering Service/Call Center,1078181057.0,1,0.7071067811865476,0.9659258262890682,-2.4492935982947064e-16,0.5000000000000001,-0.4999999999999998,0.8660254037844378
2367,160,Service,Existing Customer Prospect,729650216.0,0,0.5000000000000003,0.25881904510252074,0.258819045102521,-1.8369701987210297e-16,1.0,0.49999999999999933
2406,152,Service,Existing Customer Prospect,1031499150.0,0,1.2246467991473532e-16,0.7071067811865476,-0.7071067811865471,0.8660254037844384,0.5000000000000001,0.5000000000000004
2411,151,Service,New Prospect,736356546.0,1,0.258819045102521,0.25881904510252074,0.8660254037844387,0.49999999999999933,1.0,-0.8660254037844388
2414,150,Service,Existing Customer Prospect,1086501726.0,0,0.25881904510252074,0.0,-0.25881904510252035,1.0,0.8660254037844387,1.0
2438,100,Service,Answering Service/Call Center,676138225.0,0,0.7071067811865476,0.9659258262890682,-0.5000000000000004,0.5000000000000001,-0.4999999999999998,-4.286263797015736e-16
2462,89,Sales,Answering Service/Call Center,1078094235.0,0,0.7071067811865476,1.0,-0.8660254037844385,0.5000000000000001,-0.8660254037844385,1.1943401194869635e-15
2486,69,Service,New Prospect,1080697253.0,0,0.49999999999999994,0.9659258262890682,-0.25881904510252035,0.8660254037844387,-0.4999999999999998,1.0
2510,59,Sales,New Prospect,676310748.0,0,0.7071067811865476,0.0,0.258819045102521,0.5000000000000001,0.8660254037844387,0.49999999999999933
2536,149,Service,New Prospect,667797040.0,0,0.49999999999999994,0.0,0.5000000000000003,0.8660254037844387,0.8660254037844387,-1.8369701987210297e-16
